id,name,water,image_id,image_url,thumb_url,easy_stekje,common_name,owned_since,brought_by,last_repotting
1,Bad news,50ml,IMG_20211023_160018_f5gckk,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160018_f5gckk","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160018_f5gckk",TRUE,Begonia conchifolia,2020-05-01,Jasper,
2,Furry,bottom water,20211016_165348_g0jtfw,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_165348_g0jtfw","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_165348_g0jtfw",FALSE,Espostoa,2019-09-01,Enza,
3,Calilà,200ml,IMG_20211023_160255_mpsqvu,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160255_mpsqvu","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160255_mpsqvu",FALSE,Calathea lancifolia,2019-11-01,Lucia,2021
4,Cebu blue,tbd,IMG_20211030_142337_igdh1q,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211030_142337_igdh1q","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211030_142337_igdh1q",TRUE,Epipremnum Cebu Blue,2021-10-29,Mobile apps ❤️,
5,Darker pinky,100ml,IMG_20211023_160432_nyeggz,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160432_nyeggz","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160432_nyeggz",TRUE,Coleus,2021-09-01,Diane,
6,Button,5ml,20211016_170829_kgppld,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_170829_kgppld","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_170829_kgppld",TRUE,Crassula marnieriana,2021-10-01,Kelvin,
7,Old problem child,10ml,IMG_20211023_170536_nanu04,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_170536_nanu04","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_170536_nanu04",TRUE,Rhipsalis,2021-03-01,Stekje,
8,Johnny in the office,200ml,20211016_175237_ruikfv,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_175237_ruikfv","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_175237_ruikfv",TRUE,Rubber ficus,2020-11-01,Stekje,
9,Fake palm,100ml,IMG_20211023_160414_v6rvxn,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160414_v6rvxn","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160414_v6rvxn",FALSE,Dracaena,2020-05-01,Jasper,
10,Spotty,bottom water,IMG_20211023_160211_pw9m88,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160211_pw9m88","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160211_pw9m88",TRUE,Begonia Maculata,2019-09-01,Lucia,
11,Grows too fast,100ml,IMG_20211023_160456_tlp2j0,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160456_tlp2j0","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160456_tlp2j0",TRUE,Tradescantia,2020-06-01,Suzanne,
12,Beanie,75ml,IMG_20211023_160227_pebct7,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160227_pebct7","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160227_pebct7",FALSE,Senecio archeri,2020-05-01,Jasper,
13,Isabel,50ml,IMG_20211023_160236_cyfbyc,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160236_cyfbyc","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160236_cyfbyc",TRUE,Philodendron brasilia,2020-10-01,Stekje,
14,Forbidden beans,bottom water,20211016_163644_je6irc,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_163644_je6irc","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_163644_je6irc",FALSE,Delosperma,2021-06-01,Diane,
15,New problem child,10ml,IMG_20211023_170548_dxe8yi,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_170548_dxe8yi","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_170548_dxe8yi",FALSE,Senecio peregrinus,2020-10-01,Emil & Lucia,
16,Weird ugly fern,125ml,IMG_20211023_155926_opfy1f,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_155926_opfy1f","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_155926_opfy1f",FALSE,Asplenium scolopendrium,2019-11-01,Emil,
17,Staggy,200ml,IMG_20211023_160202_qmojuh,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160202_qmojuh","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160202_qmojuh",FALSE,Platycerium,2020-08-01,Emil & Lucia,
18,Sketchy,150ml,IMG_20211023_155938_r8ph1m,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_155938_r8ph1m","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_155938_r8ph1m",FALSE,Calathea network,2019-11-01,Lucia,
19,Weird-ass peperomia,100ml,IMG_20211023_160346_ub3vt7,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160346_ub3vt7","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160346_ub3vt7",TRUE,Green gold peperomia,2020-05-01,Jasper,
